"abdiceren","afstand doen van de troon"
"aberratie","afwijking, dwaling"
"abject","verwerpelijk"
"abolitionist","iemand die vond dat de slavernij afgeschaft moest worden"
"absint","gevaarlijk sterke drank (zelfgestookt)"
"abstinent","een persoon die zich onthoudt, meestal van alcohol"
"acclamatie","toejuiching"
"achenebbisj","vervallen, achterbuurt-achtig (B. Büch)"
"acoliet","misdienaar, volgeling"
"ad hominem","op de man gespeeld"
"ad infinitum","oneindig"
"ad libitum","naar keuze"
"ad nauseam","tot vervelens toe, eindeloos discussiëren"
"adagium","spreekwoord"
"adept","ingewijde"
"adjectief","bijvoeglijk naamwoord"
"adolescent","jongeling"
"adstructie","bevestigen door aanvoeren van bewijzen (lett: opstapeling)"
"adstrueren","nader staven"
"affreus","afschuwelijk"
"aficionado","aanhanger"
"afrodisiaca","potentie verhogende middelen"
"agitator","volksmenner, onruststoker. Theo van Gogh, een geboren ~."
"agnost","gelooft alleen in wat wij kennen, daarbuiten is niets zeker"
"agoog","opvoeder, leider"
"aimabel","beminnelijk"
"ajour","stof met kleine gaatjes (van bijv. sluier)"
"alliteratie","beginrijm (melk moet enz.)"
"allopathie","Gebruikelijke geneeskunde, itt homeopathie: genezen door ziekte te veroorzaken."
"alluderen","zinspelen op"
"alluviaal","onstaaan door aanslibbing (Pantanal in Brazilië)"
"alumnus","afgestudeerde"
"amfoor","Griekse/Romeinse kegelvormige kruik met oren"
"amorf","zonder vorm. Een -e zitzak"
"anamnese","voorgeschiedenis van de ziekte"
"anathema","volledige veroordeling"
"anciënniteit","volgorde in ouderdom of dienstjaren"
"anemie","bloedarmoede"
"aneurysma","verwijding van het bloedvat"
"angehaugt","aangetrokken voelen tot"
"animositeit","gespannen verhouding"
"annus horribilis","horror / ramp jaar"
"anonymus","onbekend/onbenoemd persoon"
"antagonist","tegenstander, rivaal, vijand"
"antimakassar","sierkleedje op stoel"
"antipode","tegenvoeter, iemand met tegengesteld karakter"
"antoniem","woorden waarvan de betekenis tegengesteld is. Goed en slecht."
"antropomorfisme","voorstelling van andere wezens als mensen (Disney films)."
"antroposofisch","de mens, natuur en kosmos verbindend"
"apaiseren","doen bedaren"
"aplomb","grote zekerheid, overtuiging"
"apodictisch","zeer stellig, geen tegenspraak duldend"
"apologie","verweerschrift / verdediging en verantwoording v.d. schrijver"
"arabesk","uitbundige versiering in tekening, of van gebouw, met bloemen en krullen"
"arcadisch","landelijk, idyllisch"
"archaïsch","ouderwets. Van Agt hanteert een – taalgebruik."
"archetypisch","oorspronkelijk. Kerst: – feest."
"argot","straattaal (van zwervers e.d.), jargon"
"aristocratisch","wie tot een oude en voorname familie behoort"
"artisanaal","ambachtelijk"
"associatief","reeks gedachten / gebeurtenissen door overeenkomst verbonden"
"astasie","onvermogen om te staan"
"astrant","brutaal, zelfverzekerd"
"atavisme","terugkerende eigenschap van voorvaderen"
"atonaal","zonder toon/harmonie"
"atrofiëren","wegkwijnen (van lichaamsdelen)"
"attest","schriftelijke verklaring"
"au fond","in de grond van de zaak"
"autocratie","regeringsvorm waarbij alle macht bij een persoon ligt"
"avant la lettre","voordat een begrip of term bekend was. Mijn oma was een geëmancipeerde vrouw ~."
"avant-garde","voorhoede. In de kunst: vooruitstrevende richting"
"baaierd","ordeloze massa, chaos"
"badineren","genoeglijk keuvelen, schertsen"
"balineren","afstand van nemen"
"bargoen","dieventaal"
"beaat","verheerlijkt (-e glimlach)"
"benevolent","weldadig"
"bestialiteit","ontucht met dieren"
"bibelot","klein kunstvoorwerp"
"bigamist","getrouwd met twee of meer mannen of vrouwen"
"bigot","schijnheilig vroom"
"bilateraal","van twee kanten"
"biraciaal","van twee rassen"
"bohemien","kunstenaar met ongeregeld leven"
"bon mot","gevatte uitdrukking (lett. goed woord)"
"bon ton","de goed toon. Het is – geworden om in een kleine auto te rijden"
"bon-vivant","iemand die het er goed van neemt, pretmaker"
"bourgeoisie","de rijke zelfzuchtigen"
"brachycefaal","kortschedelig"
"brille","uitzonderlijke begaafdheid"
"brio","met geestdrift, zeer levendig"
"brisant","zeer explosief"
"brouilleren","onenigheid hebben, in ruzie zijn"
"burlesk","Hoogdravend in platte taal: koningin Betarix vind iets ""kut""."
"bêtise","domheid, blunder"
"cameo","kort (verborgen) optreden in een film"
"canard","vals krantenbericht"
"canoniek","bijbelboeken door de kerk erkend. -e boeken."
"canvasser","stemmenwerver"
"capricieus","bokkesprongen, rare streken makend, volks. ~ze krant"
"carpediem","pluk de dag"
"catatonie","verstarrende neurotische toestand"
"catharsis","zuivering"
"causeur","gezellige prater"
"cerebraal","enkel door het verstand tot stand gekomen"
"cesuur","afhakken, trendbreuk. Vogelaar maakt ~ met Verdonk."
"charade","soort raadsel (v. Rossum)"
"chicaneren","gezochte bezwaren maken (zeuren / zaniken)"
"chignon","gevlochten haarknot"
"choken","onder de spanning bezwijken"
"cholerisch","opvliegend, driftig"
"chroniqueur","kroniekschrijver"
"ciseleren","fijne figuren aanbrengen (in metaal)"
"clement","welwillend"
"cohabiteren","geslachtsdaad verrichten"
"cohort","groep mensen (van de zelfde generatie)"
"collusie","samenspelen"
"coloreren","mooier voorstellen dan het is"
"colporteren","venten van kranten en tijdschriften"
"comme it fout","zoals het behoort (J. Zwagerman, Zomergasten)"
"compulsief","dwangmatig"
"concipiëren","ontvangen, zwanger worden"
"condominium","gemeenschappelijk bezit"
"confligeren","met elkaar in conflict komen"
"congé","afscheid"
"connaisseur","(kunst)kenner"
"conspireren","samenzweren"
"constipatie","ophoping"
"contaminatie","samentrekking van twee dezelfde begrippen. Optelefoneren."
"contemplatief","beschouwend"
"contemporain","tot dezelfde tijd behorend"
"contrair","tegengesteld"
"copernicaans","Grote revolutie."
"coprolalie","dwangmatig vloeken, obscene taal gebruiken (Gilles de la Tourette)"
"corintisch","c~e zuilen: zuilen mat kapiteel met krullende bladeren"
"coterie","intieme kring, kliek"
"cri du coeur","hartekreet"
"cum suis","met de zijne"
"curiosum","zeldzaam voorwerp"
"cyclopisch","bouwwerk van grote stenen zonder cement gestapeld (Inca's)"
"dalles","armoede"
"decent","fatsoenlijk, gepast"
"deconfiture","ondergang, faillissement"
"defaitisme","onwil om te strijden voor de overwinning"
"deficit","nadelig saldo, tekort"
"delibireren","beraadslagen"
"delirium","krankzinnigheid"
"demagogisch","volksmennend"
"demograaf","beschrijver van volkssamenstelling"
"denominatie","levensbeschouwelijke achtergrond"
"deprivatie","gemis aan (moederlijke) liefde"
"derwisj","bedelmonnik"
"despotisme","heerschappij gebaseerd op willekeur"
"deviant","afwijkend"
"devoot","vroom"
"diabolisch","duivels"
"diadeem","vorstelijk haartooisel, kroon"
"diaspora","verstrooiing"
"dichotomie","tweedelige classificatie"
"digestief","spijsvertering bevorderend (bijv. likeur bij de koffie)"
"dilettant","niet-vakman, amateur, liefhebber"
"discours","gesprek, onderhoud"
"dissertatie","proefschrift"
"dissociatief","uiteenvallen. ~ stoornis."
"dixit","aldus, hij/zij heeft gezegd"
"dociel","volgzaam, gedwee"
"dorisch","Griekse bouwstijl. Dorische zuil: met groeven en vierkant bovendeel"
"douceur","geschenk in geld; fooi. Een -tje is een zoethoudertje."
"doxen","ongewenst publiceren van persoonsgegevens op het internet"
"dragonder","manwijf"
"dystopie","louter negatieve samenleving waarin je niet wilt leven"
"dystopisch","verwijzend naar het vergaan van de wereld"
"dédain","minachting"
"eclatant","schitterend, verbluffend (- overwinning)"
"efemeer","dagelijks, kortstondig"
"egalitair","gelijkheid nastrevend"
"elaboratie","uitwerking"
"eloquent","welbespraakt"
"emblematisch","dienend als typisch zinnebeeld"
"embonpoint","buikje"
"eminence grise","machthebber die niet op de voorgrond treedt"
"emolument","extra onregelmatige bijverdienste"
"empatisch","inleven, meevoelend"
"empirie","ervaringsleer"
"en vogue","in de mode"
"encanailleren","optrekken met lagere rang of stand"
"encores","bis – bis geroep"
"endemisch","veel voorkomend in een bepaald gebied"
"enigma","groot raadsel. Elvis was een ~."
"entameren","aansnijden"
"entrefiletje","artikel om ruimte in de krant op te vullen"
"entropie","geeft de mate van wanorde"
"epateren","verbluft doen staan, overdonderen"
"epigoon","slaafse volger zonder eigen ideeën"
"epiloog","laatste .. etappe, muziekstuk, hoofdstuk"
"episch","verhalend"
"epitheton","toevoeging aan zelfstandig naamwoord (bijv: de ijzeren kanselier)"
"eponiem","woord is naam van iemand: Volt, Röntgen, Ampère enz."
"erudiet","met grote algemene ontwikkeling"
"escapisme","ontsnappen aan de realiteit"
"eschatologisch","uiterste, eind v.d. wereld, dood. Een -e vraag"
"esprit","geest"
"etatisme","overdreven staatsbemoeiing"
"etherisch","hemels"
"evident","overduidelijk"
"evoceren","voor de geest halen"
"ex cathedra","geen tegenspraak duldend"
"exalteren","in geestvervoering brengen. ge-: overspannen, ziekelijk opgewonden"
"excrementen","uitwerpselen"
"exegese","uitleg (van tekst)"
"existentieel","betrekking hebbend op het werkelijk bestaan"
"exquise","voortreffelijk"
"exuberant","overstelpend, weelderig"
"fabulant","gelooft wat hij fantaseert"
"factie","politieke groepering"
"falanx","kleine strijdgroep. De PVV is een -."
"falderappes","gepeupel"
"falsaris","oplichter"
"fatalistisch","doemdenken"
"feeëriek","sprookjesachtig"
"feodaal","aan het vroegere leenstelsel herinnerend"
"fetisjisme","geloof in tovervoorwerpen (schrijver gebruikt alleen speciale pen). Kan ook seksueel opwindend zijn."
"filibuster","extreem lange redevoering"
"filippica","heftige strafrede"
"fin de siècle","een stijlperiode eind 19de begin 20ste eeuw."
"flagrant","onmiskenbaar / zeer duidelijk"
"flegmaticus","onaandoenlijk nuchter persoon"
"fluïdum","magnetische uitstraling"
"forte","kracht"
"fourneren","verschaffen (van geld)"
"frappe","de clou"
"frenetiek","waanzinnig, razend (letterlijk: ijlkoorts)"
"fungus","schimmel. Ongenoegen bouwt zich op, als een soort ~."
"futiel","nietig"
"gaffe","blunder"
"gecoiffeerd","zeer ingenomen"
"gentrificatie","opwaardering van oude buurten door komst van jongeren met geld en creatievelingen"
"geodetisch","~e koepel: lichte bolvormige (aarde) constructie met een raster van gelijke elementen"
"geronfobie","angst voor het ouderworden"
"gerontocraat","cynisch bedoeld: lid v.d. ouderdom: ""de ~en v.d. partij""."
"geserreerd","kort en krachtig, compact"
"gesjochten","er slecht aan toe zijn"
"gesticuleren","druk gebaren"
"geëngageerd","bij de tijdsproblemen betrokken"
"godwin","wetmatigheid: naarmate online discussies langer worden, nadert de waarschijnlijkheid van een vergelijking met de nazi's of Hitler één (nu Islam)."
"gravitas","figuurlijke zwaarte, plechtmatigheid"
"gremium","omringend gezelschap (club)"
"guirlandes","gevlochten en gedraaide versierselen, slingers"
"gusto","dolgraag. Werd met ~ weggehoond."
"hagiografie","beschrijving van het leven van heiligen."
"hautain","uit de hoogte"
"hedonist","levensgenieter"
"herculeaans","immens"
"heremiet","een religieuze man of vrouw die in afzondering leeft in een kluizenarij"
"hermafrodiet","nog man nog vrouw"
"hexagonaal","zeshoekig"
"hoarding","verzamelstoornis"
"hoax","nep, bedrog, truc, oplichterij, broodjeaapverhaal"
"holisme","de natuur als één geheel zien (Afrikaanse stammen)"
"homerisch","~ gelach: onbedaarlijk daverend gelach"
"horreur","gruwel, een afschuwelijk lelijk ding"
"hybris","verwaande trots"
"hypochonder","zwaarmoedig, iemand met overdreven vrees voor gezondheid (B. Büch)."
"iconoclast","beeldenbestormer"
"idee-fixe","hardnekkige (waan)gedachte"
"idiot-savant","geestelijk gehandicapte met bijv. een uitzonderlijke talenknobbel"
"ignoramus","een onwetende"
"imminent","boven het hoofd hangend, dreigend. De ~e dood."
"impertinent","onbeschaamd"
"incrimineren","van misdaad betichten"
"indolent","lusteloos, onverschillig"
"inertie","futloosheid (hoofdbetekenis: niet reageren van stoffen e.d.)"
"infamie","eerloosheid, lage daad"
"instigatie","aanzetting, ophitsing"
"interbellum","tijdperk tussen twee oorlogen, vooral gebruikt voor tijd tussen WO1 en WO2"
"intransigent","onverzoenlijk. Geen tegemoetkoming willen doen."
"invectief","scheldwoord"
"jalousie de métier","afgunst tussen vakgenoten (bijv. schrijvers)"
"joyeus","aangenaam (om te zien), vrolijk, plezierig"
"juveniel","jeugdig"
"kalifaat","Moslimrijk met wetten volgens de Sharia"
"kariatide","steunpilaar in de vorm van een vrouw (Winkel van Sinkel in Utrecht)"
"katharsis","zuivering"
"kleptocratie","regering van dieven"
"klerikaal","wat de geestelijkheid betreft"
"kongsi","kliek"
"konterfeitsel","nagemaakt portret"
"kwezel","overdreven vrome vrouw"
"kwintessens","de kern van de zaak"
"kwispeldoor","spuugbakje"
"laissez-faire","vrijheid van productie en (handels)verkeer; letterlijk ""op zijn beloop laten"""
"landadel","grootgrondbezitters"
"lapidair","kort maar krachtig (taal)"
"lascief","uitgelaten; wulps"
"lateraal","zijdelings"
"laureaat","gelauwerde, winnaar"
"leptosoom","lang dun lichaam"
"letale","dodelijke"
"lethargie","vergetelheid, diepe gevoelloze slaap"
"liaison","geheime liefdesrelatie"
"libretto","operatekst"
"liminaal","overgangsfase"
"litanie","lange reeks (van bijvoorbeeld jammerklachten)"
"lobotomie","chirurgische ingreep in hersenen om een geestelijke storing te verlichten"
"lumineus","schitterend. Een – idee."
"machiavellistisch","aanleg om sluw en gewetenloos te zijn"
"malheur","Ongeluk"
"malicieus","boosaardig"
"mansarde dak","gebroken dak"
"marron","afstammeling van gevluchte plantageslaven in Suriname"
"martiaal","krijgszuchtig,  oorlogszuchtig"
"masculien","mannelijk stoer"
"maskerade","vermomming"
"mataglap","knettergek"
"matineus","vroeg opgestaan"
"matriarchaal","~e maatschappij: vrouwelijke linie overheerst"
"matrimoniaal","het huwelijk betreffend"
"mea culpa","het is mijn schuld"
"mecenas","beschermer van kunst en wetenschap"
"megalomaan","vervuld van grootheidswaanzin"
"meme","komisch filmpje of afbeelding"
"mercantilisme","economische politiek om een land zo rijk mogelijk te maken"
"merites","verdiensten"
"meritocratisch","beloning naar verdienste"
"metastase","uitzaaiing"
"meticuleus","Zeer nauwkeurig"
"metier","vak, ambacht"
"missive","dienstbrief"
"mitigreren","verzachten"
"modaliteiten","soorten van vervoer: weg, spoor, scheepvaart enz."
"modus vivendi","wijze van (naast elkaar) leven"
"moesjawara","eindeloos overleg van dorpelingen tot overeenstemming (kolonietijd)"
"mondain","werelds"
"monografie","wetenschappelijke studie over een onderwerp"
"moratorium","stilstand, verleend uitstel (van betaling)"
"moroos","somber, triest"
"mulat","blanke afstammeling van een neger"
"narcist","iemand die overdreven met zichzelf bezig is"
"navrant","hartverscheurend"
"necrologie","levensgeschiedenis van een recent overleden persoon"
"nefast","rampzalig"
"negotie","koophandel"
"neologisme","nieuw woord, of bestaand woord in een nieuwe betekenis"
"nepotisme","voortrekken van verwanten en vrienden door de machthebber"
"nomen est omen","wat het woord al zegt"
"noob","onervaren beginneling"
"notoire","beruchte"
"noviet","nieuweling"
"obligaat","verplicht. Museum met de – spulletjes."
"obstinaat","stijfkoppig, hardnekkig"
"occult","buitennatuurlijk"
"odium","wat kwalijk genomen wordt"
"odyssee","lange zwerftocht. ~ van teenslippers over de wereld"
"oekaze","bevel van hogerhand. Er ligt een – van de directie."
"oikofobie","de angst voor het eigene"
"oligarchie","regering waar een paar mensen de macht hebben"
"omerta","geheimhoudingsplicht"
"omissie","gemis"
"onomatopee","klanknabootsend woord (pingpong)"
"opportuun","goedgeschikt voor DIT ogenblik"
"opulent","vermogend"
"opïoden","langdurige pijnstillers"
"ostensibel","uitgesproken zichtbaar"
"otium","welverdiende rust"
"paladijn","voorvechter"
"palavers","langdurige onderhandelingen. Geen ~  over wisselkoersen."
"paleolithicum","oude steentijd"
"palmarès","lijst van prijswinnaars (dwdd)"
"panache","bravoure"
"pandemonium","hels lawaai"
"panopticam","wassenbeeldenverzameling"
"panoptisch","allesziend, geheel openlijk."
"pantheon","eregalerij van overledenen"
"parafernalia","persoonlijke eigendommen"
"pars pro toto","deel van object noemen als geheel bedoeld wordt. Bijv. bemanning van 2000 koppen"
"parti-pris","vooroordeel"
"paskwil","anoniem lasterschrift, dwaze vertoning, bespottelijk persoon"
"pastiche","namaak"
"pathologisch","ziekelijk"
"pathos","ondervinden, beleven"
"patriarchaal","waar de man de baas is. Een – gezin."
"pavoiseren","met vlaggen en vlaggetjes versieren"
"pederast","man die seks heeft met jongens"
"pejoratief","minachting tonend"
"penaten","beschermende huisgoden"
"pendant","tegenhanger"
"perfide","trouweloos"
"persecuteren","vervolgen / achtervolgen"
"perverteren","ontaarden, ten kwade veranderen"
"pièce de résistance","meesterwerk, levenswerk"
"piëteit","eerbied. Uit – voor de overledene."
"platonisch","zuiver geestelijk, niet lichamelijk. -e liefde."
"pleonasme","toevoegen v.e. overbodig woord: oude grijsaard, naar beneden kelderen"
"plutocratie","land geregeerd door geld (Amerika)"
"pogrom","georganiseerde slachting van een groep"
"polyfoon","meerstemmig"
"polyglot","iemand die veel talen kent"
"ponteneur","eergevoel"
"portee","strekking, inhoud"
"poseur","aansteller, aandachtstrekker"
"posteren","neerzetten op een bepaalde plaats"
"postulaat","vooronderstelling"
"potentaat","machthebber"
"preambule","uitvoerige inleiding"
"precariaat","samenlevingsgroep met een onzeker bestaan"
"precedent","eeder besluit waarop men zich kan beroepen"
"predator","(natuurlijke) vijand"
"pregnant","zinvol"
"prelaat","geestelijke van hogere rang"
"preluderend","voorbereidend, voor-spel"
"preoccupatie","bezorgdheid"
"prerogatief","voorrecht; bevoegdheid"
"preservatief","voorbehoedmiddel"
"priapisme","permanente erectie"
"primus inter pares","de eerste onder zijns gelijken, meestal wordt de minister president bedoeld"
"pro bono","voor de publieke zaak"
"prononceren","sterk uitspreken"
"protegé","beschermeling, favoriet"
"prozaisch","alledaags, gewoon"
"pugilist","vuistvechter"
"purgeren","laxeren"
"pyrrusoverwinning","schijnoverwinning"
"queeste","zoektocht"
"querulant","iemand die altijd klaagt over vermeend onrecht hem aangedaan"
"quid pro quo","voor wat hoort wat"
"quod non","hetgeen niet waar is"
"railleren","spotten, iemand voor de gek houden"
"raison d’être","bestaansrecht"
"rapalje","gepeupel"
"ravissant","verrukkelijk, bekoorlijk ~e schoonheid."
"recalcitrant","dwarsliggend (figuurlijk)"
"rekest","schriftelijk verzoek aan de overheid"
"relict","overblijfsel als getuigenis van toenmalige toestand"
"reminiscentie","herinnering"
"renegaat","afvallige"
"requiem","mis voor de doden"
"resem","lange rij"
"resigneren","berusten"
"retarderen","vertragen"
"revelatie","openbaring, onthulling"
"revolte","opstand, oproer"
"riposteren","een snel en raak antwoord geven"
"risee","persoon om wie iedereen lacht"
"ruraal","het platteland betreffend, landelijk"
"sacraal","toegewijd"
"salafist","ultra-orthodoxe moslim"
"salonfähig","geaccepteerd, bespreekbaar"
"sardonisch","schamper, spottend"
"sartoriale","maatwerk (kleding)"
"savoureren","smakelijk eten"
"scabreus","ruw, scabreuze teksten"
"scatologisch","~ verhaal : poep en pies verhaal"
"scharrig","armoedig"
"schisma","kerkscheuring; afscheiding in het algemeen"
"scribent","schrijver in ongunstige zin; prulschrijver"
"secularisatie","verwereldlijking"
"segregatie","afzondering – afscheiding"
"serendipiteit","het vinden van iets onverwachts en bruikbaars terwijl je op zoek bent naar iets totaal anders"
"sermoen","uitvoerige vermaning"
"sic","gebruikt in tekst net als (..), betekent zo!, het staat er echt"
"singulariteit","zonderlingheid, eigenaardigheid. Een technologische ~ die het internet tot leven wekt."
"sjamanisme","verering van natuurkrachten"
"sneven","sneuvelen"
"soit","Het zij zo"
"solvabel","in staat om te betalen"
"sommelier","wijnkenner"
"sublimeren","primitieve uiting veranderen in het streven naar een hoger niveau"
"subversief","omverwerpend"
"sujet","schoft"
"swastika","hakenkruis"
"syncretisme","vermenging van godsdiensten"
"tactiel","behorend tot de tastzin, aanrakerig"
"tantaliserend","onvervulbare begeerten opwekkend"
"tautologie","2x zelfde uitdrukking in een zin: in vuur en vlam. Of overbodig: groen gras."
"taxidermist","dierenopzetter"
"teaser","engels: moeilijke vraag, plaaggeest. Een opvallende raadselachtige reclame"
"tiara","driekroon (van Maxima)"
"tormenteren","kwellen, plagen. Met een – gelaatsuitdrukking."
"tournure","wending"
"traktaat","overeenkomst, vaak godsdienstelijk"
"transgressief","grenzen overschrijdend"
"tristesse","troosteloosheid"
"trits","drietal. woonwijk in – tegen de helling geplakt. (vaak verkeerd gebruikt)"
"troebleren","in wanorde brengen. Uiterst ge~de persoonlijkheid"
"trouvaille","vondst (op geestelijk gebied)"
"usance","gebruikelijk"
"usurperen","ten onrechte in bezit nemen (-de ellebogen)"
"vendetta","bloedwraak"
"verbeuzelen","verknoeien"
"versatiel","wispelturig. (Borst over de Hoop Scheffer)"
"verscheiden","sterven"
"versjteren","de vreugde bederven / verknoeien"
"victualiën","mondvoorraad / proviand"
"vilein","boosaardig, venijnig"
"violent","met geweld, heftig. Een – antisemiet."
"viriel","mannelijk"
"virulent","ziekmakend"
"volatiel","snel verdampend"
"voluptueus","Zo mollig dat het wellustige gevoelens opwekt (beelden van Botero)."
"voxpop","mening van de gewone man/vrouw in de straat over een bepaald onderwerp"
"vulgus","het plebs, het gepeupel"
"werdegang","ontstaansgeschiedenis"
"whodunit","detectiveverhaal met vooral: wie is de dader"
"xenofoob","iemand met een afkeer voor vreemdelingen"
"zeloot","overdreven ijverig iemand"
"zwaluwstaarten","(politiek) qua beleid op een harmonieuze wijze op elkaar afstemmen"